Contaminated,Methane,NOxEmissions,PM2.5Emissions,VOCEmissions,SO2Emissions,CO2Emissions
0,409,469,896,1424,1010,2236
1,542,607,1119,1543,1228,2398
1,814,817,1355,1733,1557,2178
0,367,464,926,1437,1003,2272
1,1190,1064,1738,1786,1877,1903
1,797,847,1291,1754,1623,2497
1,831,1003,1398,1837,1737,2453
0,469,495,892,1486,1137,2452
0,326,471,922,1473,956,2268
1,712,669,1208,1646,1558,2353
1,608,735,1294,1685,1335,1988
1,543,575,1035,1599,1448,2476
1,977,811,1458,1692,1790,2265
0,463,525,967,1526,1141,2485
1,545,587,1050,1585,1206,2511
1,693,832,1393,1739,1496,1895
1,539,571,1164,1560,1248,2335
1,619,674,1187,1669,1445,2307
1,723,692,1317,1680,1609,2166
1,543,631,1259,1578,1262,2031
0,365,489,929,1467,1035,2346
1,1005,846,1483,1755,1660,2047
0,386,448,913,1483,979,2318
1,854,828,1513,1715,1657,2043
1,928,840,1587,1787,1538,1986
1,660,632,1183,1616,1384,2376
1,515,617,1200,1587,1146,2188
1,509,613,1188,1582,1217,2109
1,768,865,1450,1756,1554,1845
1,795,775,1360,1696,1644,2181
0,388,516,893,1444,1369,2192
1,560,567,1107,1585,1217,2487
0,313,413,845,1384,820,2362
1,620,720,1249,1705,1590,2281
1,749,684,1276,1605,1567,2408
1,528,611,1198,1612,1106,2166
1,1053,970,1652,1781,1701,1955
1,546,570,1082,1556,1528,2465
1,661,637,1204,1639,1383,2387
1,522,627,1233,1646,1118,2147
1,778,788,1320,1729,1509,2201
1,780,818,1246,1739,1631,2471
1,448,557,1015,1563,1097,2097
1,574,678,1173,1680,1452,2324
0,377,491,877,1478,1005,2280
1,559,642,1243,1603,1340,1994
1,654,801,1358,1661,1477,1924
1,819,806,1510,1670,1599,2099
0,360,491,861,1426,1014,2243
1,509,499,1035,1569,1136,2565
0,467,538,1107,1621,978,2333
0,326,471,980,1475,890,2302
1,561,586,1111,1574,1283,2403
0,381,460,888,1476,1330,1913
0,419,540,991,1503,1079,2350
1,1193,1046,1633,1797,1831,1957
1,597,770,1331,1682,1444,1962
0,388,397,881,1428,943,2536
0,372,503,879,1461,1019,2239
1,542,616,1249,1581,1245,2023
1,832,990,1360,1810,1759,2510
0,362,470,933,1476,915,2254
1,672,718,1394,1590,1489,2043
1,762,916,1428,1696,1628,1958
1,687,849,1307,1698,1536,1995
1,789,874,1435,1753,1583,1838
0,365,491,855,1432,1028,2233
0,344,475,988,1487,913,2256
1,569,612,1186,1602,1291,2287
0,419,527,976,1466,1039,2330
0,496,551,974,1499,1126,2504
1,530,615,1145,1546,1261,2226
0,429,494,947,1503,1055,2251
1,615,691,1301,1674,1395,1958
0,405,457,938,1444,987,2151
0,376,453,994,1503,916,2220
1,563,652,1281,1605,1283,2089
1,502,551,1190,1587,1090,2165
0,473,534,1057,1643,986,2322
1,541,664,1216,1634,1204,2120
1,494,601,1058,1565,1202,2170
0,448,548,1051,1612,1018,2306
1,902,779,1417,1706,1778,2217
0,378,420,940,1485,928,2326
0,362,416,921,1470,932,2244
1,582,582,1109,1559,1260,2368
0,379,506,955,1487,1015,2337
1,581,572,1191,1606,1287,2369
1,616,623,1125,1608,1347,2401
1,806,875,1311,1780,1664,2486
0,333,483,1000,1482,963,2229
0,407,497,954,1504,1128,2222
0,368,471,987,1446,883,2279
1,602,656,1215,1625,1321,2160
1,672,713,1367,1607,1440,2100
0,385,484,984,1515,902,2190
0,429,530,1090,1633,985,2343
1,549,640,1238,1643,1151,2147
1,513,570,1115,1575,1240,2099
1,904,1046,1550,1794,1705,1864
1,791,894,1493,1761,1590,1833
0,420,523,1000,1492,1095,2278
1,537,645,1220,1595,1185,2187
0,517,548,967,1509,1141,2485
0,408,502,1042,1540,941,2265
0,464,520,943,1513,1151,2228
1,700,773,1220,1740,1368,2347
1,683,762,1375,1707,1487,1837
0,311,456,809,1389,1046,2106
1,600,665,1263,1667,1254,2135
1,507,599,1209,1591,1243,2068
1,764,779,1433,1675,1556,1900
1,663,673,1316,1629,1383,1989
0,321,409,834,1394,827,2323
0,428,469,976,1447,1007,2152
1,846,930,1321,1794,1648,2424
0,412,471,1041,1509,937,2289
1,595,643,1145,1677,1421,2312
0,407,515,995,1501,1099,2265
0,510,549,1078,1519,1161,2301
0,381,475,930,1469,949,2294
1,525,624,1131,1590,1277,2085
1,530,605,1236,1603,1252,2042
1,791,792,1265,1748,1651,2497
1,547,605,1244,1609,1273,2025
1,626,669,1224,1653,1352,2112
0,379,516,882,1444,1493,2095
1,867,999,1327,1787,1785,2464
1,996,1115,1623,1766,1789,1845
0,392,473,897,1497,950,2277
1,699,648,1343,1667,1414,2294
0,472,507,968,1513,1091,2251
1,851,829,1500,1716,1613,2133
0,403,485,963,1507,901,2202
0,574,592,1150,1610,1221,2447
1,571,624,1230,1610,1318,2305
1,510,602,1214,1615,1132,2156
1,697,635,1197,1634,1447,2425
1,1118,1015,1654,1793,1768,1984
1,1136,1020,1684,1785,1793,1925
0,380,410,860,1416,936,2215
0,380,410,860,1416,936,2215
1,554,684,1225,1631,1210,2169
1,809,827,1248,1749,1600,2449
1,716,791,1396,1735,1503,1908
1,1062,1364,1518,1926,1819,2445
1,593,696,1198,1708,1440,2323
1,510,603,1178,1612,1101,2157
1,496,616,1200,1621,1167,2156
0,415,471,1063,1508,964,2224
0,421,518,999,1516,1055,2360
1,822,947,1359,1811,1673,2424
0,377,498,991,1492,921,2286
1,546,626,1140,1676,1366,2293
0,263,442,813,1383,945,2196
0,459,538,1062,1632,988,2319
0,375,462,885,1469,941,2219
1,636,669,1167,1628,1521,2486
1,854,1042,1377,1834,1779,2483
1,759,891,1456,1769,1569,1831
0,336,473,983,1492,922,2225
1,653,635,1276,1655,1356,2280
1,693,762,1304,1674,1481,2275
1,781,926,1483,1765,1617,1842
1,600,647,1107,1647,1413,2335
0,387,471,892,1477,967,2297
0,375,512,972,1487,1038,2346
0,373,435,867,1416,912,2286
1,870,982,1348,1817,1699,2513
0,358,434,900,1469,952,2214
0,416,496,906,1466,1002,2265
1,532,601,1092,1541,1294,2528
0,383,434,945,1496,938,2296
