Contaminated,Methane,NOxEmissions,PM2.5Emissions,VOCEmissions,SO2Emissions,CO2Emissions
1,534,626,1138,1600,1264,2176
1,619,643,1252,1641,1329,2243
1,575,630,1255,1659,1203,2192
0,410,462,888,1467,966,2237
0,432,494,931,1486,1147,2201
1,591,608,1282,1718,1087,2113
0,413,478,925,1448,1005,2259
1,594,638,1231,1574,1449,2005
1,506,607,1181,1570,1159,2151
0,505,537,1004,1476,1181,2604
1,669,686,1169,1700,1557,2404
1,571,606,1180,1611,1279,2303
1,920,934,1498,1784,1735,2015
1,711,736,1323,1757,1577,2312
1,527,638,1111,1586,1289,2080
0,415,550,935,1503,1086,2352
1,1066,993,1621,1816,1870,1961
1,785,825,1302,1790,1302,2426
1,728,627,1246,1635,1512,2442
1,705,732,1381,1643,1520,1958
0,278,427,832,1392,869,2274
1,610,641,1108,1639,1664,2467
1,808,861,1330,1793,1688,2478
1,565,565,1079,1546,1236,2478
1,683,730,1193,1715,1544,2449
1,493,619,1163,1590,1236,2133
1,746,778,1438,1681,1577,2082
0,430,527,957,1497,1137,2475
1,550,640,1248,1626,1183,2143
1,525,604,1063,1583,1251,2533
0,306,425,829,1379,836,2305
1,495,590,1081,1575,1257,2533
1,843,964,1354,1803,1715,2449
1,459,595,1207,1586,1190,2195
0,396,472,996,1500,960,2194
1,763,892,1461,1708,1614,1862
1,492,513,1091,1622,957,2101
1,552,639,1202,1642,1194,2131
1,547,547,1076,1568,1298,2450
1,561,616,1282,1635,1196,2134
1,774,941,1286,1787,1473,2328
0,383,462,995,1505,970,2214
1,612,653,1128,1679,1433,2309
1,523,569,1092,1546,1218,2492
0,385,484,954,1499,952,2235
0,272,376,775,1348,792,2316
0,308,459,802,1395,926,2193
1,1049,1009,1615,1833,1819,1957
1,502,585,1190,1592,1178,2110
0,382,489,996,1503,872,2234
0,416,509,910,1502,1015,2319
1,512,609,1117,1640,1376,2301
0,376,486,909,1461,1074,2292
0,468,509,997,1498,1158,2238
1,547,617,1119,1551,1242,2372
1,670,631,1236,1649,1405,2344
1,824,907,1445,1702,1621,1955
0,454,525,925,1504,1113,2309
0,483,523,912,1520,1181,2438
0,369,465,879,1465,930,2235
1,945,979,1587,1801,1814,1861
1,543,581,1161,1601,1270,2125
1,805,917,1513,1778,1613,1827
0,345,435,862,1421,954,2241
1,578,568,1100,1596,1223,2433
0,382,506,904,1480,988,2297
1,426,555,1028,1495,1086,2174
1,804,876,1276,1739,1658,2483
1,954,958,1576,1779,1798,1827
1,757,744,1257,1673,1713,2382
0,368,437,869,1433,948,2468
0,394,443,999,1506,897,2265
1,576,630,1172,1581,1299,2362
1,812,880,1307,1721,1683,2461
1,499,587,1167,1612,1077,2206
0,317,407,777,1391,804,2363
1,771,846,1306,1733,1711,2434
1,549,633,1233,1644,1157,2160
1,714,818,1196,1735,1490,2286
1,762,804,1387,1732,1536,2234
0,288,368,770,1343,776,2329
0,391,509,981,1514,908,2269
1,633,727,1385,1606,1488,2092
1,415,537,1024,1507,1051,2107
1,802,905,1516,1771,1603,1868
1,515,626,1185,1546,1283,2027
0,397,497,945,1496,1046,2310
0,522,550,980,1528,1130,2435
0,437,700,880,1582,1246,2292
1,697,712,1306,1619,1562,1954
1,828,929,1324,1807,1744,2438
1,776,832,1281,1744,1697,2452
1,835,904,1264,1772,1663,2479
1,686,740,1289,1737,1592,2258
1,630,705,1218,1643,1343,2066
0,307,405,820,1381,812,2281
1,959,982,1607,1795,1772,1919
1,840,786,1326,1722,1603,2177
0,380,447,921,1475,1029,2212
0,391,505,1012,1476,931,2188
1,669,658,1162,1673,1601,2465
1,526,563,1082,1583,1169,2526
1,619,620,1096,1652,1644,2471
0,360,482,864,1414,1039,2211
0,376,486,911,1449,970,2268
1,653,621,1173,1699,1350,2500
1,819,845,1366,1811,1694,2440
1,530,614,1228,1618,1184,2146
1,574,612,1110,1592,1279,2367
1,494,581,1120,1574,1197,2182
1,682,687,1243,1676,1413,2278
1,640,737,1339,1695,1439,1986
1,670,729,1220,1687,1458,2441
1,711,623,1230,1618,1454,2360
0,370,478,884,1478,980,2234
0,494,578,933,1506,1131,2455
1,539,565,1212,1655,1082,2101
1,707,737,1381,1628,1596,1958
1,666,707,1172,1672,1494,2463
1,536,566,1148,1601,1228,2115
1,629,683,1338,1541,1443,2128
1,582,596,1144,1594,1330,2330
0,365,432,885,1414,875,2496
0,311,442,787,1393,883,2244
1,511,599,1105,1620,1202,2394
0,435,579,967,1526,1141,2485
1,707,734,1164,1693,1723,2495
0,366,435,819,1421,893,2511
1,572,559,1076,1574,1220,2430
1,748,775,1462,1628,1509,2110
1,855,969,1335,1815,1759,2440
1,921,868,1522,1767,1731,2026
0,324,464,898,1459,941,2212
1,554,660,1283,1625,1204,2146
1,803,906,1515,1777,1582,1845
1,751,691,1279,1657,1616,2288
1,613,719,1311,1682,1388,1999
1,800,942,1317,1797,1762,2510
1,443,585,1124,1591,1115,2168
1,640,769,1338,1710,1404,1958
1,550,638,1257,1627,1197,2138
0,361,436,912,1473,923,2269
0,375,472,988,1508,881,2228
1,1266,1119,1702,1852,1875,1896
1,811,830,1287,1768,1657,2482
1,713,622,1242,1636,1556,2361
1,872,1021,1436,1853,1603,2283
1,485,553,1044,1563,1180,2523
0,384,491,973,1492,956,2248
1,793,875,1519,1767,1603,1869
0,387,499,995,1472,943,2231
0,426,494,1085,1554,989,2286
1,494,564,1092,1558,1111,2134
0,345,491,907,1474,992,2293
1,803,918,1464,1786,1630,1826
1,514,666,1249,1651,1210,2183
0,460,779,948,1627,1292,2291
1,826,901,1249,1788,1660,2478
1,573,658,1114,1628,1451,2338
0,513,552,1001,1514,1165,2669
0,457,539,1016,1535,1166,2249
0,377,430,812,1422,959,2265
1,655,694,1308,1606,1460,2079
1,700,719,1374,1633,1491,2179
0,375,469,908,1489,996,2330
0,372,483,935,1499,858,2302
1,843,1014,1374,1810,1766,2498
1,582,639,1279,1650,1243,2136
1,523,649,1207,1630,1162,2143
0,472,525,1009,1491,1169,2537
1,887,1068,1480,1847,1601,2438
0,517,548,967,1526,1141,2485
0,401,496,933,1496,986,2316
1,550,611,1098,1600,1290,2457
1,1089,1012,1702,1796,1681,2029
1,506,567,1217,1684,1094,2111
0,500,524,999,1513,1103,2664
1,609,648,1207,1645,1303,2357
1,794,870,1520,1784,1617,1864
1,1028,944,1614,1741,1747,1904
1,542,594,1142,1553,1263,2327
0,521,540,994,1543,1162,2236
1,891,1054,1388,1855,1747,2432
1,525,635,1182,1616,1164,2181
0,428,548,954,1524,1101,2485
1,504,624,1207,1588,1131,2133
1,469,527,1124,1635,978,2090
0,545,641,1148,1595,1230,2448
0,307,433,814,1398,895,2192
1,877,922,1355,1816,1679,2491
1,805,878,1216,1658,1719,2462
1,423,562,1028,1490,1103,2207
0,479,521,980,1529,1163,2540
0,305,424,847,1400,847,2347
1,626,683,1217,1657,1352,2198
0,324,427,786,1387,863,2278
0,361,433,862,1427,902,2460
1,545,625,1168,1594,1235,2270
0,552,642,1153,1600,1237,2380
0,402,531,1001,1503,1116,2342
0,301,433,816,1400,896,2245
0,405,542,973,1504,1042,2220
0,519,549,1073,1571,1135,2316
1,580,596,1117,1604,1303,2493
1,830,772,1361,1683,1584,2198
1,599,654,1153,1679,1395,2326
1,573,618,1115,1657,1384,2261
0,395,485,869,1487,972,2316
1,508,616,1126,1600,1142,2147
1,627,682,1107,1624,1639,2427
1,518,608,1182,1630,1138,2140
0,520,521,1024,1538,1163,2212
0,457,504,994,1499,1127,2243
1,801,707,1329,1672,1575,2379
0,493,529,1005,1494,1142,2600
1,772,812,1389,1842,1521,2494
1,1091,1017,1693,1759,1729,2027
0,267,404,810,1377,802,2359
0,384,467,970,1493,883,2341
0,442,481,897,1487,1004,2245
0,517,523,904,1526,1060,2485
1,1112,1015,1645,1827,1833,1928
0,429,485,1069,1554,976,2263
1,519,627,1242,1626,1165,2157
1,569,653,1110,1643,1492,2334
1,737,882,1451,1706,1574,1887
1,886,1048,1383,1838,1796,2458
1,539,628,1140,1614,1280,2101
1,534,548,1051,1573,1224,2364
1,998,1026,1595,1796,1796,1923
0,319,467,907,1457,935,2237
1,642,694,1202,1687,1322,2201
1,521,571,1134,1575,1191,2200
1,605,645,1202,1636,1347,2322
1,494,556,1031,1558,1136,2129
1,691,653,1263,1664,1430,2339
1,743,893,1418,1760,1562,1881
0,408,487,919,1477,1032,2212
1,585,581,1174,1610,1284,2430
0,320,388,838,1400,823,2360
0,424,548,944,1504,1090,2485
0,346,486,908,1486,992,2318
1,662,791,1339,1721,1507,1866
0,381,492,997,1470,891,2271
1,504,661,1284,1634,1213,2137
1,537,629,1167,1623,1182,2154
1,931,972,1543,1783,1698,1912
1,540,595,1114,1575,1167,2388
0,434,473,1007,1494,1069,2386
1,647,668,1308,1637,1466,2105
1,647,766,1338,1701,1497,1911
1,970,920,1580,1731,1763,1865
0,389,486,1014,1504,898,2202
1,556,568,1103,1640,1370,2293
1,936,898,1551,1793,1736,2019
1,560,602,1166,1595,1236,2349
1,627,602,1160,1618,1267,2337
1,531,637,1252,1580,1187,2131
1,793,826,1373,1722,1562,2178
0,306,426,827,1362,822,2365
1,575,622,1129,1610,1270,2388
1,641,696,1112,1670,1312,2300
1,987,1010,1602,1778,1792,1935
1,918,1013,1401,1847,1761,2494
0,512,640,1148,1580,1261,2418
1,503,590,1205,1585,1171,2154
1,539,536,1090,1580,1219,2527
0,399,521,990,1502,1062,2394
1,673,629,1162,1622,1379,2414
0,376,449,883,1435,949,2461
0,369,452,913,1479,942,2238
1,519,591,1145,1575,1176,2123
0,344,427,839,1416,831,2362
1,496,610,1126,1605,1141,2149
1,749,733,1208,1711,1714,2388
0,567,585,1125,1583,1254,2362
1,554,584,1146,1582,1248,2407
1,798,904,1321,1763,1632,2243
0,465,522,997,1499,1154,2554
1,989,1114,1601,1771,1777,1856
0,407,434,911,1440,958,2108
1,597,652,1152,1686,1435,2264
1,1035,1016,1592,1819,1820,1947
1,804,921,1503,1781,1625,1859
1,584,652,1261,1659,1235,2105
1,715,801,1422,1727,1496,1870
0,372,490,867,1471,1014,2236
1,628,690,1132,1687,1427,2323
1,622,668,1152,1691,1399,2248
1,580,658,1066,1650,1457,2344
0,369,514,959,1497,1018,2344
1,974,1240,1509,1900,1784,2479
0,380,505,955,1491,1065,2272
0,378,480,887,1484,967,2297
0,501,528,1015,1487,1161,2684
1,680,697,1372,1654,1392,1974
1,516,638,1253,1570,1356,2029
1,644,682,1158,1701,1434,2309
1,656,671,1235,1663,1352,2286
1,544,639,1230,1628,1152,2149
1,603,662,1154,1680,1411,2318
1,657,697,1225,1668,1462,2370
1,793,850,1274,1726,1678,2476
1,883,810,1411,1733,1631,2122
1,681,703,1339,1653,1422,2238
1,1153,1025,1702,1787,1809,1934
1,906,749,1379,1697,1692,2308
1,606,654,1121,1610,1653,2452
1,517,640,1162,1629,1151,2181
1,687,755,1378,1785,1315,2302
1,739,750,1378,1627,1548,1969
1,417,536,1030,1515,1059,2125
1,826,846,1304,1773,1678,2467
0,372,479,997,1451,891,2274
1,690,694,1306,1667,1470,2198
1,596,655,1157,1659,1388,2323
1,598,675,1303,1601,1390,2052
1,751,683,1273,1658,1574,2367
0,365,495,858,1472,1025,2240
1,991,1126,1615,1816,1764,1854
1,775,809,1252,1741,1678,2419
0,370,485,895,1424,1015,2256
1,539,573,1134,1579,1239,2272
0,379,498,931,1487,1196,1907
0,327,403,829,1397,824,2357
1,1030,1256,1504,1910,1797,2458
1,965,796,1451,1687,1740,2331
0,495,524,1007,1479,1118,2703
0,321,435,786,1395,856,2284
1,797,815,1342,1736,1555,2184
0,453,516,960,1471,1106,2488
1,541,571,1174,1677,1074,2117
0,307,427,854,1395,852,2350
1,682,722,1099,1637,1676,2457
1,477,533,1088,1625,958,2126
0,390,491,1012,1505,897,2292
1,649,702,1218,1639,1425,2464
1,901,1044,1396,1802,1772,2480
0,389,464,962,1492,852,2273
1,537,553,1078,1579,1472,2457
1,912,1067,1408,1816,1766,2498
1,992,903,1559,1733,1756,1926
1,628,701,1132,1684,1353,2261
1,621,672,1137,1652,1377,2494
0,394,518,995,1484,1106,2340
1,715,719,1374,1634,1537,2008
0,404,501,956,1473,1010,2344
0,432,507,953,1506,1075,2304
1,467,596,1148,1599,1140,2150
1,861,951,1349,1823,1697,2462
0,379,489,953,1508,923,2249
0,402,501,955,1471,984,2307
0,500,538,1008,1520,1164,2642
1,762,904,1413,1758,1580,1881
1,453,567,1057,1548,1196,2100
0,354,467,910,1428,943,2221
1,757,730,1358,1697,1479,2242
1,559,562,1187,1585,1285,2311
0,466,502,934,1507,1109,2467
1,757,869,1434,1749,1565,1880
1,487,595,1099,1572,1233,2110
1,714,747,1352,1595,1518,2113
0,402,516,943,1460,1016,2325
0,286,430,820,1393,874,2250
1,533,599,1221,1625,1141,2134
1,736,773,1218,1715,1685,2422
1,550,612,1091,1623,1254,2338
1,546,664,1101,1631,1526,2303
1,786,908,1443,1773,1609,1856
1,496,620,1131,1606,1092,2155
1,587,679,1299,1674,1278,2088
1,764,757,1265,1728,1700,2398
0,413,545,955,1524,1063,2339
0,309,443,823,1387,912,2178
1,854,970,1339,1814,1757,2428
1,554,622,1186,1598,1329,2382
0,420,481,949,1446,1000,2198
1,546,617,1094,1611,1366,2287
1,598,686,1111,1639,1405,2330
1,565,610,1135,1567,1301,2375
0,354,458,907,1477,918,2246
1,685,747,1216,1705,1586,2468
1,937,965,1527,1769,1804,1904
1,806,845,1275,1768,1553,2479
0,311,422,846,1399,832,2305
1,826,735,1311,1680,1626,2347
1,689,693,1266,1654,1512,2120
1,610,649,1225,1585,1343,2383
1,765,769,1335,1632,1634,1926
1,544,609,1022,1611,1397,2298
1,551,650,1219,1639,1173,2156
0,417,522,1012,1456,1091,2378
1,773,823,1304,1734,1648,2447
1,521,664,1242,1619,1216,2156
1,773,895,1465,1769,1599,1823
1,659,652,1351,1649,1309,2169
1,529,611,1089,1564,1203,2412
1,875,1065,1434,1853,1743,2416
1,740,872,1455,1727,1570,1863
0,377,497,915,1455,992,2235
1,537,643,1206,1638,1154,2145
0,428,521,1010,1525,1171,2568
0,356,465,914,1451,955,2204
1,844,974,1342,1810,1744,2519
0,399,501,955,1459,1066,2317
0,369,440,834,1427,937,2205
0,414,505,963,1492,1026,2316
0,268,346,772,1333,773,2379
1,1052,1019,1606,1787,1869,1948
1,586,705,1278,1670,1407,2002
1,847,981,1320,1809,1750,2486
1,691,764,1307,1747,1598,2247
1,705,729,1329,1697,1524,2183
0,442,523,1048,1622,993,2318
0,423,511,981,1502,1110,2216
0,358,471,919,1457,972,2255
1,767,789,1375,1711,1633,2070
1,610,637,1175,1584,1352,2392
1,726,823,1424,1729,1546,1896
1,532,584,1033,1587,1217,2514
0,401,465,875,1428,1014,2207
0,411,520,967,1468,1072,2303
1,543,635,1149,1588,1272,2224
1,858,855,1477,1655,1620,2115
1,877,791,1452,1734,1672,2108
1,748,886,1431,1731,1548,1869
0,381,488,902,1485,919,2332
0,395,499,1017,1468,922,2237
0,367,439,893,1408,946,2518
1,561,677,1302,1664,1285,2128
0,390,509,993,1482,936,2238
0,419,568,917,1516,1114,2342
1,849,958,1321,1811,1717,2497
1,548,558,1078,1615,1391,2479
1,641,674,1156,1652,1410,2433
1,696,678,1354,1644,1476,2239
1,833,791,1344,1699,1609,2167
1,607,670,1161,1625,1367,2502
0,357,469,924,1465,928,2223
1,759,809,1384,1745,1546,2222
1,609,649,1098,1624,1583,2458
1,532,570,1082,1592,1175,2535
0,416,491,1052,1547,997,2218
1,880,1062,1416,1840,1636,2458
1,807,894,1291,1761,1660,2488
1,659,680,1329,1638,1444,2103
1,770,693,1289,1680,1595,2345
1,506,540,1094,1575,1242,2437
1,568,649,1278,1656,1190,2130
0,311,425,824,1371,839,2337
0,338,467,907,1466,934,2194
1,547,641,1276,1651,1143,2151
1,941,1028,1400,1851,1793,2498
0,355,423,915,1470,933,2244
0,408,543,948,1516,1111,2294
0,369,443,861,1419,903,2439
1,532,634,1255,1638,1129,2161
0,405,499,951,1464,1019,2316
1,580,664,1234,1646,1282,2089
1,940,1127,1434,1871,1731,2504
1,467,603,1092,1556,1234,2078
1,766,856,1450,1763,1559,1841
1,491,562,1004,1564,1166,2554
1,800,829,1399,1699,1567,2210
1,975,1065,1576,1794,1751,1822
1,506,619,1186,1585,1142,2194
1,585,673,1171,1673,1455,2320
1,529,646,1260,1633,1288,2087
0,417,515,999,1619,1087,2239
0,309,382,832,1389,828,2344
1,678,783,1267,1710,1591,2289
0,403,442,882,1462,993,2233
1,671,692,1203,1676,1735,2409
1,827,890,1318,1772,1574,2459
0,453,501,966,1497,1126,2358
1,642,697,1169,1676,1560,2471
1,737,705,1310,1689,1466,2237
1,671,751,1259,1711,1582,2274
1,453,517,1070,1558,1054,2285
1,982,992,1560,1801,1773,1948
1,571,663,1194,1638,1306,2181
0,319,434,798,1395,844,2336
0,384,506,996,1496,921,2272
0,405,453,1014,1510,904,2296
1,781,775,1252,1714,1676,2388
0,366,510,1052,1521,961,2287
0,376,447,876,1392,962,2515
0,311,418,838,1391,819,2310
1,708,742,1374,1664,1505,2112
1,643,708,1334,1688,1431,1872
1,1098,997,1723,1813,1594,2187
0,460,544,1069,1646,978,2340
1,755,796,1230,1730,1628,2468
1,1013,973,1606,1806,1833,1938
1,589,647,1291,1651,1241,2146
1,540,648,1250,1642,1186,2081
1,565,665,1251,1650,1182,2169
0,370,476,910,1496,1049,2165
1,644,708,1348,1699,1447,1887
1,567,594,1253,1625,1279,2073
1,544,621,1124,1613,1317,2493
1,642,655,1161,1635,1376,2383
1,559,597,1112,1567,1266,2352
0,432,491,1079,1547,991,2252
1,559,574,1089,1598,1544,2459
0,437,513,949,1500,1143,2321
0,545,577,1082,1578,1197,2263
1,778,784,1400,1638,1579,2117
0,375,443,895,1393,949,2506
1,603,639,1233,1628,1280,2316
1,725,689,1204,1712,1559,2476
0,265,401,808,1374,795,2349
1,606,663,1164,1633,1339,2355
1,557,587,1175,1578,1254,2308
1,694,729,1396,1568,1492,2106
0,377,482,1010,1466,935,2242
1,737,685,1292,1659,1436,2308
0,369,478,890,1471,1003,2232
1,513,577,1162,1589,1155,2161
